question,answer
"If X = 10 and Y = 6, is X greater than Y?",Yes
"Either John is at home or he is at the office. If not John is at home, then what?",he is at the office
"If the light is on, then what happens?",the ground gets wet
Is the statement 'No fish can walk' logically valid?,TRUE
Is the statement 'Some dogs are cats' logically valid?,FALSE
"If the light is on, then what happens?",the ground gets wet
"Either the cat is on the roof or someone is watching. If not the cat is on the roof, then what?",someone is watching
Is the statement 'Some dogs are cats' logically valid?,FALSE
"If the phone rings, then what happens?",the room is bright
Is the statement 'Some dogs are cats' logically valid?,FALSE
"Either John is at home or someone is watching. If not John is at home, then what?",someone is watching
"Either the TV is on or it is hiding. If not the TV is on, then what?",it is hiding
What is the positive form of: 'It is not raining'?,It is raining
"Either the cat is on the roof or he is at the office. If not the cat is on the roof, then what?",he is at the office
"If X = 48 and Y = 23, is X greater than Y?",Yes
"If X = 21 and Y = 27, is X greater than Y?",No
"Either the window is open or he is at the office. If not the window is open, then what?",he is at the office
"If the phone rings, then what happens?",someone enters
"If X = 6 and Y = 6, is X greater than Y?",No
"If X = 33 and Y = 49, is X greater than Y?",No
What is the positive form of: 'The door is not closed'?,The door is closed
"If the phone rings, then what happens?",the room is bright
"If it rains, then what happens?",you pass the exam
"If X = 1 and Y = 17, is X greater than Y?",No
Is the statement 'Some dogs are cats' logically valid?,FALSE
"If it rains, then what happens?",you answer it
"Either the window is open or he is at the office. If not the window is open, then what?",he is at the office
"If you study, then what happens?",you answer it
"If X = 10 and Y = 30, is X greater than Y?",No
"If it rains, then what happens?",you pass the exam
What is the positive form of: 'The sun is not shining'?,The sun is shining
What is the positive form of: 'It is not raining'?,It is raining
Is the statement 'Some dogs are cats' logically valid?,FALSE
Is the statement 'All cars can swim' logically valid?,FALSE
"If you study, then what happens?",the room is bright
What is the positive form of: 'The door is not closed'?,The door is closed
"If it rains, then what happens?",you pass the exam
What is the positive form of: 'She is not happy'?,She is happy
"If X = 28 and Y = 21, is X greater than Y?",Yes
"If X = 48 and Y = 26, is X greater than Y?",Yes
Is the statement 'No fish can walk' logically valid?,TRUE
What is the positive form of: 'The door is not closed'?,The door is closed
"If it rains, then what happens?",you pass the exam
Is the statement 'No fish can walk' logically valid?,TRUE
"Either the window is open or someone is watching. If not the window is open, then what?",someone is watching
"Either the cat is on the roof or the room is breezy. If not the cat is on the roof, then what?",the room is breezy
"Either the TV is on or it is hiding. If not the TV is on, then what?",it is hiding
What is the positive form of: 'The sun is not shining'?,The sun is shining
What is the positive form of: 'It is not raining'?,It is raining
What is the positive form of: 'The door is not closed'?,The door is closed
Is the statement 'No fish can walk' logically valid?,TRUE
"If the phone rings, then what happens?",you pass the exam
Is the statement 'All cars can swim' logically valid?,FALSE
Is the statement 'Some dogs are cats' logically valid?,FALSE
What is the positive form of: 'She is not happy'?,She is happy
"If the light is on, then what happens?",you answer it
What is the positive form of: 'The door is not closed'?,The door is closed
What is the positive form of: 'It is not raining'?,It is raining
What is the positive form of: 'The sun is not shining'?,The sun is shining
"If the light is on, then what happens?",you answer it
"If the light is on, then what happens?",the ground gets wet
"Either John is at home or someone is watching. If not John is at home, then what?",someone is watching
What is the positive form of: 'The door is not closed'?,The door is closed
Is the statement 'All birds can fly' logically valid?,TRUE
Is the statement 'All birds can fly' logically valid?,TRUE
"If X = 6 and Y = 2, is X greater than Y?",Yes
"If you study, then what happens?",the room is bright
"If X = 43 and Y = 48, is X greater than Y?",No
"Either John is at home or it is hiding. If not John is at home, then what?",it is hiding
Is the statement 'No fish can walk' logically valid?,TRUE
"If the door is open, then what happens?",the ground gets wet
"If it rains, then what happens?",you answer it
What is the positive form of: 'The door is not closed'?,The door is closed
"If it rains, then what happens?",someone enters
"If the door is open, then what happens?",the ground gets wet
What is the positive form of: 'The door is not closed'?,The door is closed
Is the statement 'Some dogs are cats' logically valid?,FALSE
"If it rains, then what happens?",you answer it
Is the statement 'All cars can swim' logically valid?,FALSE
What is the positive form of: 'It is not raining'?,It is raining
"If X = 30 and Y = 35, is X greater than Y?",No
"Either John is at home or he is at the office. If not John is at home, then what?",he is at the office
What is the positive form of: 'The sun is not shining'?,The sun is shining
What is the positive form of: 'It is not raining'?,It is raining
Is the statement 'All birds can fly' logically valid?,TRUE
What is the positive form of: 'The sun is not shining'?,The sun is shining
"If you study, then what happens?",you pass the exam
"If the light is on, then what happens?",the room is bright
"If the door is open, then what happens?",someone enters
Is the statement 'All birds can fly' logically valid?,TRUE
What is the positive form of: 'It is not raining'?,It is raining
"Either the window is open or it is hiding. If not the window is open, then what?",it is hiding
"If X = 27 and Y = 31, is X greater than Y?",No
"Either John is at home or he is at the office. If not John is at home, then what?",he is at the office
Is the statement 'No fish can walk' logically valid?,TRUE
"Either the cat is on the roof or the room is breezy. If not the cat is on the roof, then what?",the room is breezy
Is the statement 'All cars can swim' logically valid?,FALSE
"Either the cat is on the roof or someone is watching. If not the cat is on the roof, then what?",someone is watching
Is the statement 'All cars can swim' logically valid?,FALSE
"If the phone rings, then what happens?",someone enters
"If the door is open, then what happens?",someone enters
What is the positive form of: 'The door is not closed'?,The door is closed
Is the statement 'All cars can swim' logically valid?,FALSE
What is the positive form of: 'The sun is not shining'?,The sun is shining
"If the phone rings, then what happens?",the room is bright
"If the light is on, then what happens?",you pass the exam
Is the statement 'All birds can fly' logically valid?,TRUE
"Either the cat is on the roof or he is at the office. If not the cat is on the roof, then what?",he is at the office
"If you study, then what happens?",the ground gets wet
"If X = 29 and Y = 2, is X greater than Y?",Yes
Is the statement 'All birds can fly' logically valid?,TRUE
"Either the TV is on or it is hiding. If not the TV is on, then what?",it is hiding
"If X = 16 and Y = 1, is X greater than Y?",Yes
"If X = 40 and Y = 36, is X greater than Y?",Yes
Is the statement 'Some dogs are cats' logically valid?,FALSE
"If you study, then what happens?",you answer it
"If X = 8 and Y = 5, is X greater than Y?",Yes
Is the statement 'All birds can fly' logically valid?,TRUE
"If X = 50 and Y = 22, is X greater than Y?",Yes
What is the positive form of: 'It is not raining'?,It is raining
"If X = 12 and Y = 47, is X greater than Y?",No
"If X = 21 and Y = 39, is X greater than Y?",No
"Either the window is open or someone is watching. If not the window is open, then what?",someone is watching
"Either the cat is on the roof or the room is breezy. If not the cat is on the roof, then what?",the room is breezy
"If X = 49 and Y = 44, is X greater than Y?",Yes
"If X = 33 and Y = 23, is X greater than Y?",Yes
Is the statement 'All birds can fly' logically valid?,TRUE
"If X = 16 and Y = 21, is X greater than Y?",No
What is the positive form of: 'It is not raining'?,It is raining
Is the statement 'All birds can fly' logically valid?,TRUE
Is the statement 'All cars can swim' logically valid?,FALSE
What is the positive form of: 'It is not raining'?,It is raining
Is the statement 'All cars can swim' logically valid?,FALSE
What is the positive form of: 'It is not raining'?,It is raining
What is the positive form of: 'The sun is not shining'?,The sun is shining
Is the statement 'No fish can walk' logically valid?,TRUE
"If X = 29 and Y = 17, is X greater than Y?",Yes
Is the statement 'All birds can fly' logically valid?,TRUE
What is the positive form of: 'The sun is not shining'?,The sun is shining
"If the phone rings, then what happens?",the room is bright
What is the positive form of: 'It is not raining'?,It is raining
"If X = 23 and Y = 16, is X greater than Y?",Yes
"If you study, then what happens?",you pass the exam
"If X = 39 and Y = 22, is X greater than Y?",Yes
"If you study, then what happens?",you pass the exam
Is the statement 'All cars can swim' logically valid?,FALSE
"Either the cat is on the roof or it is hiding. If not the cat is on the roof, then what?",it is hiding
What is the positive form of: 'She is not happy'?,She is happy
"Either the cat is on the roof or it is hiding. If not the cat is on the roof, then what?",it is hiding
What is the positive form of: 'The door is not closed'?,The door is closed
"If the light is on, then what happens?",the room is bright
"If the phone rings, then what happens?",the ground gets wet
"Either the window is open or someone is watching. If not the window is open, then what?",someone is watching
"If you study, then what happens?",you pass the exam
"If the door is open, then what happens?",the room is bright
Is the statement 'All birds can fly' logically valid?,TRUE
"If X = 2 and Y = 23, is X greater than Y?",No
"If the door is open, then what happens?",the room is bright
"If the phone rings, then what happens?",someone enters
"If X = 38 and Y = 44, is X greater than Y?",No
"If the door is open, then what happens?",you answer it
Is the statement 'All cars can swim' logically valid?,FALSE
"If X = 22 and Y = 46, is X greater than Y?",No
"Either the TV is on or it is hiding. If not the TV is on, then what?",it is hiding
"If you study, then what happens?",you answer it
What is the positive form of: 'She is not happy'?,She is happy
"If X = 37 and Y = 21, is X greater than Y?",Yes
"Either the TV is on or someone is watching. If not the TV is on, then what?",someone is watching
What is the positive form of: 'It is not raining'?,It is raining
"If the phone rings, then what happens?",you answer it
"If the phone rings, then what happens?",someone enters
"Either the window is open or the room is breezy. If not the window is open, then what?",the room is breezy
"If X = 32 and Y = 10, is X greater than Y?",Yes
"Either the TV is on or he is at the office. If not the TV is on, then what?",he is at the office
"If X = 15 and Y = 3, is X greater than Y?",Yes
What is the positive form of: 'The door is not closed'?,The door is closed
"If X = 48 and Y = 34, is X greater than Y?",Yes
"If X = 15 and Y = 12, is X greater than Y?",Yes
Is the statement 'All cars can swim' logically valid?,FALSE
Is the statement 'Some dogs are cats' logically valid?,FALSE
"If X = 29 and Y = 1, is X greater than Y?",Yes
"Either the cat is on the roof or someone is watching. If not the cat is on the roof, then what?",someone is watching
"Either the window is open or it is hiding. If not the window is open, then what?",it is hiding
"If X = 2 and Y = 17, is X greater than Y?",No
What is the positive form of: 'It is not raining'?,It is raining
"If you study, then what happens?",the room is bright
Is the statement 'All cars can swim' logically valid?,FALSE
Is the statement 'All birds can fly' logically valid?,TRUE
What is the positive form of: 'It is not raining'?,It is raining
Is the statement 'All cars can swim' logically valid?,FALSE
"If the door is open, then what happens?",you answer it
What is the positive form of: 'The sun is not shining'?,The sun is shining
"If the light is on, then what happens?",the room is bright
Is the statement 'All birds can fly' logically valid?,TRUE
"If it rains, then what happens?",you answer it
"If X = 38 and Y = 48, is X greater than Y?",No
"Either the window is open or he is at the office. If not the window is open, then what?",he is at the office
"If X = 34 and Y = 25, is X greater than Y?",Yes
"Either the window is open or someone is watching. If not the window is open, then what?",someone is watching
"If it rains, then what happens?",the room is bright
